date,home_team,away_team,home_score,away_score,home_won
2022-12-16,Cleveland Cavaliers,LA Clippers,108,101,True
2022-12-16,Utah Jazz,Houston Rockets,122,126,False
2022-12-16,Charlotte Hornets,Utah Jazz,126,130,False
2022-12-16,Washington Wizards,Minnesota Timberwolves,113,108,True
2022-12-16,LA Clippers,Indiana Pacers,104,113,False
2022-12-16,Washington Wizards,Sacramento Kings,118,102,True
2022-12-16,Portland Trail Blazers,Toronto Raptors,102,113,False
2022-12-16,Sacramento Kings,Washington Wizards,113,109,True
2022-12-16,Orlando Magic,Minnesota Timberwolves,124,118,True
2022-12-16,Brooklyn Nets,Atlanta Hawks,103,119,False
2022-12-16,Atlanta Hawks,Phoenix Suns,106,108,False
2022-12-17,Denver Nuggets,Orlando Magic,121,130,False
2022-12-17,Denver Nuggets,LA Lakers,128,106,True
2022-12-17,Brooklyn Nets,Philadelphia 76ers,117,120,False
2022-12-17,Portland Trail Blazers,Oklahoma City Thunder,110,112,False
2022-12-17,Cleveland Cavaliers,Oklahoma City Thunder,103,117,False
2022-12-18,Oklahoma City Thunder,Charlotte Hornets,115,99,True
2022-12-18,LA Lakers,Atlanta Hawks,112,100,True
2022-12-18,Atlanta Hawks,Denver Nuggets,131,105,True
2022-12-18,Atlanta Hawks,Washington Wizards,107,114,False
2022-12-18,Dallas Mavericks,Portland Trail Blazers,123,119,True
2022-12-18,Detroit Pistons,Brooklyn Nets,119,109,True
2022-12-18,Oklahoma City Thunder,Boston Celtics,94,100,False
2022-12-18,Washington Wizards,New York Knicks,103,114,False
2022-12-18,Atlanta Hawks,Philadelphia 76ers,104,108,False
2022-12-18,Phoenix Suns,Sacramento Kings,120,114,True
2022-12-18,Sacramento Kings,Denver Nuggets,121,95,True
2022-12-18,Boston Celtics,LA Clippers,119,88,True
2022-12-19,Boston Celtics,Denver Nuggets,104,113,False
2022-12-19,Golden State Warriors,Denver Nuggets,97,129,False
2022-12-19,Indiana Pacers,Orlando Magic,103,138,False
2022-12-19,Orlando Magic,Memphis Grizzlies,128,98,True
2022-12-19,Charlotte Hornets,Golden State Warriors,106,120,False
2022-12-19,Sacramento Kings,Miami Heat,117,98,True
2022-12-19,New York Knicks,Indiana Pacers,111,100,True
2022-12-19,Sacramento Kings,Indiana Pacers,116,97,True
2022-12-20,Atlanta Hawks,Milwaukee Bucks,118,123,False
2022-12-20,Brooklyn Nets,Miami Heat,88,127,False
2022-12-20,New Orleans Pelicans,Philadelphia 76ers,109,113,False
2022-12-20,Atlanta Hawks,Sacramento Kings,117,92,True
2022-12-20,San Antonio Spurs,Denver Nuggets,105,117,False
2022-12-20,Portland Trail Blazers,New Orleans Pelicans,119,106,True
2022-12-20,Philadelphia 76ers,Denver Nuggets,122,99,True
2022-12-20,Orlando Magic,Houston Rockets,136,127,True
2022-12-20,Indiana Pacers,Portland Trail Blazers,112,98,True
2022-12-20,Utah Jazz,Cleveland Cavaliers,104,113,False
2022-12-20,San Antonio Spurs,New York Knicks,110,85,True
2022-12-20,LA Lakers,Memphis Grizzlies,90,118,False
2022-12-20,Memphis Grizzlies,Minnesota Timberwolves,102,104,False
2022-12-20,Utah Jazz,Toronto Raptors,96,115,False
2022-12-21,New Orleans Pelicans,Brooklyn Nets,125,88,True
2022-12-21,Chicago Bulls,Dallas Mavericks,118,113,True
2022-12-21,Orlando Magic,San Antonio Spurs,117,104,True
2022-12-21,Dallas Mavericks,LA Lakers,104,134,False
2022-12-21,Brooklyn Nets,Utah Jazz,111,105,True
2022-12-21,Detroit Pistons,New Orleans Pelicans,115,112,True
2022-12-21,Denver Nuggets,New York Knicks,124,113,True
2022-12-21,Oklahoma City Thunder,New Orleans Pelicans,109,86,True
2022-12-21,Sacramento Kings,Minnesota Timberwolves,136,98,True
2022-12-21,Utah Jazz,LA Clippers,117,114,True
2022-12-21,LA Clippers,Sacramento Kings,107,106,True
2022-12-21,San Antonio Spurs,LA Lakers,118,107,True
2022-12-21,Portland Trail Blazers,Sacramento Kings,114,111,True
2022-12-21,Portland Trail Blazers,LA Lakers,106,119,False
2022-12-22,Orlando Magic,San Antonio Spurs,119,87,True
2022-12-22,New Orleans Pelicans,Memphis Grizzlies,123,114,True
2022-12-22,Phoenix Suns,LA Clippers,122,95,True
2022-12-22,Charlotte Hornets,Indiana Pacers,118,109,True
2022-12-22,Portland Trail Blazers,Brooklyn Nets,107,94,True
2022-12-22,Indiana Pacers,Orlando Magic,117,111,True
2022-12-23,Detroit Pistons,Minnesota Timberwolves,96,99,False
2022-12-23,LA Lakers,Golden State Warriors,129,137,False
2022-12-23,Cleveland Cavaliers,Milwaukee Bucks,109,116,False
2022-12-23,San Antonio Spurs,Utah Jazz,102,87,True
2022-12-23,Atlanta Hawks,Dallas Mavericks,111,112,False
2022-12-23,Philadelphia 76ers,San Antonio Spurs,120,91,True
2022-12-23,LA Clippers,Phoenix Suns,105,109,False
2022-12-23,Miami Heat,Indiana Pacers,123,106,True
2022-12-23,New York Knicks,San Antonio Spurs,116,85,True
2022-12-23,Memphis Grizzlies,Toronto Raptors,113,109,True
2022-12-23,Toronto Raptors,Orlando Magic,102,115,False
2022-12-23,Washington Wizards,LA Clippers,112,130,False
2022-12-23,Philadelphia 76ers,San Antonio Spurs,126,110,True
2022-12-23,Denver Nuggets,Charlotte Hornets,119,114,True
2022-12-24,Detroit Pistons,LA Lakers,115,124,False
2022-12-24,Utah Jazz,Miami Heat,116,117,False
2022-12-24,New Orleans Pelicans,Memphis Grizzlies,118,113,True
2022-12-24,Milwaukee Bucks,Cleveland Cavaliers,105,104,True
2022-12-24,Brooklyn Nets,Philadelphia 76ers,108,126,False
2022-12-24,Atlanta Hawks,LA Clippers,103,88,True
2022-12-24,San Antonio Spurs,Dallas Mavericks,85,111,False
2022-12-24,San Antonio Spurs,Philadelphia 76ers,89,122,False
2022-12-24,Golden State Warriors,Cleveland Cavaliers,127,121,True
2022-12-24,Dallas Mavericks,Utah Jazz,130,108,True
2022-12-24,Miami Heat,Phoenix Suns,116,103,True
2022-12-25,Sacramento Kings,Phoenix Suns,109,114,False
2022-12-25,Atlanta Hawks,Portland Trail Blazers,115,109,True
2022-12-25,Denver Nuggets,New Orleans Pelicans,135,129,True
2022-12-25,Philadelphia 76ers,Boston Celtics,109,116,False
2022-12-25,Toronto Raptors,Oklahoma City Thunder,120,104,True
2022-12-25,Milwaukee Bucks,New Orleans Pelicans,113,100,True
2022-12-25,Milwaukee Bucks,Denver Nuggets,105,89,True
2022-12-25,Detroit Pistons,Portland Trail Blazers,105,110,False
2022-12-25,LA Lakers,Cleveland Cavaliers,113,107,True
2022-12-25,Charlotte Hornets,Houston Rockets,114,115,False
2022-12-25,Golden State Warriors,Houston Rockets,123,110,True
2022-12-25,LA Lakers,Sacramento Kings,119,107,True
2022-12-26,LA Clippers,Miami Heat,101,122,False
2022-12-26,Phoenix Suns,Indiana Pacers,118,113,True
2022-12-26,Dallas Mavericks,Detroit Pistons,123,116,True
2022-12-26,Sacramento Kings,Chicago Bulls,102,96,True
2022-12-26,Atlanta Hawks,San Antonio Spurs,115,103,True
2022-12-27,Golden State Warriors,Detroit Pistons,121,113,True
2022-12-27,Memphis Grizzlies,Charlotte Hornets,114,105,True
2022-12-27,Indiana Pacers,Cleveland Cavaliers,102,117,False
2022-12-27,Charlotte Hornets,Toronto Raptors,125,114,True
2022-12-27,Cleveland Cavaliers,Sacramento Kings,102,103,False
2022-12-27,Orlando Magic,Indiana Pacers,115,121,False
2022-12-27,Orlando Magic,Miami Heat,116,107,True
2022-12-27,Orlando Magic,Philadelphia 76ers,118,113,True
2022-12-27,Chicago Bulls,Brooklyn Nets,128,105,True
2022-12-27,Orlando Magic,New York Knicks,115,112,True
2022-12-27,Denver Nuggets,New Orleans Pelicans,133,106,True
2022-12-27,Utah Jazz,Orlando Magic,127,114,True
2022-12-27,Orlando Magic,Indiana Pacers,109,128,False
2022-12-28,Indiana Pacers,New Orleans Pelicans,102,110,False
2022-12-28,Philadelphia 76ers,San Antonio Spurs,110,97,True
2022-12-28,Oklahoma City Thunder,Brooklyn Nets,123,105,True
2022-12-28,Portland Trail Blazers,Denver Nuggets,105,113,False
2022-12-28,Houston Rockets,Philadelphia 76ers,103,111,False
2022-12-28,Minnesota Timberwolves,Houston Rockets,116,108,True
2022-12-28,Minnesota Timberwolves,Philadelphia 76ers,117,121,False
2022-12-28,LA Clippers,Brooklyn Nets,121,116,True
2022-12-28,Sacramento Kings,Golden State Warriors,116,112,True
2022-12-28,Orlando Magic,San Antonio Spurs,118,114,True
2022-12-28,Orlando Magic,LA Lakers,127,121,True
2022-12-28,New York Knicks,Detroit Pistons,117,102,True
2022-12-28,Houston Rockets,New Orleans Pelicans,107,115,False
2022-12-28,Dallas Mavericks,Memphis Grizzlies,102,118,False
2022-12-29,Washington Wizards,Phoenix Suns,108,116,False
2022-12-29,Milwaukee Bucks,Detroit Pistons,127,107,True
2022-12-29,Memphis Grizzlies,New Orleans Pelicans,106,110,False
2022-12-29,Orlando Magic,LA Lakers,88,108,False
2022-12-29,Portland Trail Blazers,Utah Jazz,106,96,True
2022-12-29,Milwaukee Bucks,Toronto Raptors,121,99,True
2022-12-29,Utah Jazz,Oklahoma City Thunder,110,113,False
2022-12-29,Minnesota Timberwolves,Brooklyn Nets,130,90,True
2022-12-29,Portland Trail Blazers,LA Lakers,85,104,False
2022-12-29,LA Lakers,Cleveland Cavaliers,123,100,True
2022-12-29,Utah Jazz,Phoenix Suns,105,110,False
2022-12-29,Milwaukee Bucks,San Antonio Spurs,93,131,False
2022-12-29,Denver Nuggets,LA Lakers,116,87,True
2022-12-29,LA Lakers,Dallas Mavericks,112,113,False
2022-12-30,Portland Trail Blazers,New Orleans Pelicans,127,134,False
2022-12-30,Chicago Bulls,Phoenix Suns,96,118,False
2022-12-30,Indiana Pacers,Milwaukee Bucks,108,117,False
2022-12-30,Golden State Warriors,Chicago Bulls,104,119,False
2022-12-30,LA Lakers,Detroit Pistons,120,116,True
2022-12-30,New Orleans Pelicans,Toronto Raptors,112,99,True
2022-12-30,Denver Nuggets,Toronto Raptors,110,85,True
2022-12-30,Phoenix Suns,Indiana Pacers,114,104,True
2022-12-30,Minnesota Timberwolves,LA Clippers,116,115,True
2022-12-30,Golden State Warriors,Toronto Raptors,123,114,True
2022-12-30,Detroit Pistons,Sacramento Kings,102,117,False
2022-12-30,Atlanta Hawks,Philadelphia 76ers,127,100,True
2022-12-31,Houston Rockets,Toronto Raptors,105,126,False
2022-12-31,Philadelphia 76ers,Charlotte Hornets,110,106,True
2022-12-31,Phoenix Suns,New Orleans Pelicans,116,106,True
2022-12-31,Phoenix Suns,Brooklyn Nets,129,126,True
2022-12-31,Boston Celtics,LA Clippers,111,104,True
2022-12-31,LA Clippers,Toronto Raptors,120,92,True
2022-12-31,Houston Rockets,Indiana Pacers,106,91,True
2022-12-31,San Antonio Spurs,Utah Jazz,103,101,True
2022-12-31,Detroit Pistons,Phoenix Suns,102,103,False
2022-12-31,Dallas Mavericks,Sacramento Kings,119,99,True
2022-12-31,Golden State Warriors,Sacramento Kings,120,103,True
2022-12-31,Minnesota Timberwolves,Boston Celtics,113,105,True
2022-12-31,San Antonio Spurs,Dallas Mavericks,120,112,True
2022-12-31,Miami Heat,Washington Wizards,114,102,True
2023-01-01,Toronto Raptors,San Antonio Spurs,118,114,True
2023-01-01,Toronto Raptors,Chicago Bulls,128,123,True
2023-01-01,Washington Wizards,Sacramento Kings,105,106,False
2023-01-01,Sacramento Kings,Boston Celtics,120,110,True
2023-01-01,Atlanta Hawks,Utah Jazz,128,118,True
2023-01-01,San Antonio Spurs,Houston Rockets,119,102,True
2023-01-01,Milwaukee Bucks,Charlotte Hornets,121,117,True
2023-01-01,Charlotte Hornets,Denver Nuggets,117,123,False
2023-01-01,Dallas Mavericks,New York Knicks,97,113,False
2023-01-01,Minnesota Timberwolves,San Antonio Spurs,128,121,True
2023-01-02,New Orleans Pelicans,Portland Trail Blazers,117,92,True
2023-01-02,Portland Trail Blazers,Utah Jazz,111,112,False
2023-01-02,Sacramento Kings,New Orleans Pelicans,118,122,False
2023-01-02,Brooklyn Nets,Sacramento Kings,108,95,True
2023-01-02,Dallas Mavericks,LA Clippers,104,85,True
2023-01-02,San Antonio Spurs,Memphis Grizzlies,87,115,False
2023-01-02,Golden State Warriors,Memphis Grizzlies,125,119,True
2023-01-02,Houston Rockets,Portland Trail Blazers,125,101,True
2023-01-02,Utah Jazz,New Orleans Pelicans,116,97,True
2023-01-02,Milwaukee Bucks,Orlando Magic,100,120,False
2023-01-03,Golden State Warriors,Boston Celtics,112,104,True
2023-01-03,Denver Nuggets,Indiana Pacers,128,95,True
2023-01-03,Sacramento Kings,Philadelphia 76ers,120,110,True
2023-01-03,Detroit Pistons,Utah Jazz,102,122,False
2023-01-03,Memphis Grizzlies,New Orleans Pelicans,117,90,True
2023-01-03,Golden State Warriors,Miami Heat,114,112,True
2023-01-03,Atlanta Hawks,Brooklyn Nets,97,93,True
2023-01-03,Miami Heat,Denver Nuggets,123,114,True
2023-01-03,Charlotte Hornets,Houston Rockets,123,115,True
2023-01-03,Orlando Magic,Phoenix Suns,92,121,False
2023-01-03,Toronto Raptors,Atlanta Hawks,120,126,False
2023-01-03,Denver Nuggets,LA Lakers,115,108,True
2023-01-03,Portland Trail Blazers,New Orleans Pelicans,90,98,False
2023-01-04,Sacramento Kings,New Orleans Pelicans,108,102,True
2023-01-04,Detroit Pistons,LA Clippers,121,102,True
2023-01-04,Phoenix Suns,Brooklyn Nets,121,95,True
2023-01-04,Miami Heat,Cleveland Cavaliers,104,103,True
2023-01-04,LA Clippers,Atlanta Hawks,112,121,False
2023-01-04,New Orleans Pelicans,Detroit Pistons,120,122,False
2023-01-04,Boston Celtics,LA Clippers,112,102,True
2023-01-04,Denver Nuggets,LA Lakers,118,110,True
2023-01-04,Boston Celtics,Philadelphia 76ers,125,116,True
2023-01-04,Atlanta Hawks,San Antonio Spurs,112,104,True
2023-01-04,Boston Celtics,San Antonio Spurs,86,123,False
2023-01-04,Washington Wizards,Houston Rockets,121,110,True
2023-01-04,Oklahoma City Thunder,Boston Celtics,128,110,True
2023-01-04,Toronto Raptors,LA Lakers,127,93,True
2023-01-05,Dallas Mavericks,Chicago Bulls,122,105,True
2023-01-05,Charlotte Hornets,Atlanta Hawks,106,112,False
2023-01-05,Charlotte Hornets,Orlando Magic,111,113,False
2023-01-05,Dallas Mavericks,Brooklyn Nets,110,117,False
2023-01-05,New Orleans Pelicans,LA Clippers,85,105,False
2023-01-05,Oklahoma City Thunder,Cleveland Cavaliers,107,97,True
2023-01-05,Washington Wizards,LA Lakers,120,104,True
2023-01-05,Dallas Mavericks,Denver Nuggets,98,122,False
2023-01-05,Toronto Raptors,Utah Jazz,126,100,True
2023-01-05,Atlanta Hawks,Golden State Warriors,104,111,False
2023-01-06,New York Knicks,LA Lakers,110,96,True
2023-01-06,Chicago Bulls,Philadelphia 76ers,91,102,False
2023-01-06,Denver Nuggets,Memphis Grizzlies,119,118,True
2023-01-06,LA Lakers,Philadelphia 76ers,96,120,False
2023-01-06,Dallas Mavericks,LA Clippers,85,117,False
2023-01-06,Detroit Pistons,Memphis Grizzlies,105,113,False
2023-01-06,LA Lakers,Dallas Mavericks,108,111,False
2023-01-06,Philadelphia 76ers,Chicago Bulls,117,90,True
2023-01-06,Houston Rockets,Dallas Mavericks,103,113,False
2023-01-06,Utah Jazz,Atlanta Hawks,121,115,True
2023-01-06,Oklahoma City Thunder,Denver Nuggets,112,100,True
2023-01-06,Cleveland Cavaliers,Philadelphia 76ers,114,121,False
2023-01-07,LA Lakers,Detroit Pistons,115,109,True
2023-01-07,LA Lakers,Cleveland Cavaliers,121,85,True
2023-01-07,Chicago Bulls,Golden State Warriors,103,127,False
2023-01-07,Orlando Magic,New Orleans Pelicans,128,104,True
2023-01-07,Chicago Bulls,LA Clippers,107,114,False
2023-01-07,Denver Nuggets,Detroit Pistons,117,105,True
2023-01-07,San Antonio Spurs,Denver Nuggets,127,128,False
2023-01-07,Indiana Pacers,San Antonio Spurs,104,97,True
2023-01-07,Sacramento Kings,San Antonio Spurs,122,85,True
2023-01-07,New York Knicks,Washington Wizards,132,92,True
2023-01-07,Utah Jazz,Washington Wizards,116,120,False
2023-01-08,Philadelphia 76ers,San Antonio Spurs,121,119,True
2023-01-08,Charlotte Hornets,Orlando Magic,104,107,False
2023-01-08,Oklahoma City Thunder,Milwaukee Bucks,108,113,False
2023-01-08,Boston Celtics,Orlando Magic,119,116,True
2023-01-08,Atlanta Hawks,Phoenix Suns,106,111,False
2023-01-08,Milwaukee Bucks,LA Clippers,135,116,True
2023-01-08,Utah Jazz,Houston Rockets,117,95,True
2023-01-08,Golden State Warriors,Memphis Grizzlies,129,120,True
2023-01-09,Sacramento Kings,Atlanta Hawks,112,106,True
2023-01-09,Chicago Bulls,San Antonio Spurs,124,107,True
2023-01-09,LA Lakers,Miami Heat,123,114,True
2023-01-09,Oklahoma City Thunder,Dallas Mavericks,106,97,True
2023-01-09,New Orleans Pelicans,Brooklyn Nets,120,111,True
2023-01-09,Sacramento Kings,Orlando Magic,111,93,True
2023-01-09,Philadelphia 76ers,Indiana Pacers,121,112,True
2023-01-09,Philadelphia 76ers,Memphis Grizzlies,127,120,True
2023-01-09,Portland Trail Blazers,LA Clippers,109,114,False
2023-01-09,Toronto Raptors,Atlanta Hawks,120,106,True
2023-01-09,Toronto Raptors,Denver Nuggets,113,115,False
2023-01-09,Denver Nuggets,Detroit Pistons,118,114,True
2023-01-10,LA Clippers,Indiana Pacers,114,110,True
2023-01-10,Memphis Grizzlies,Cleveland Cavaliers,110,89,True
2023-01-10,Charlotte Hornets,Denver Nuggets,112,122,False
2023-01-10,Utah Jazz,Chicago Bulls,122,99,True
2023-01-10,Chicago Bulls,Minnesota Timberwolves,131,124,True
2023-01-10,Washington Wizards,LA Lakers,116,123,False
2023-01-10,Atlanta Hawks,New Orleans Pelicans,103,99,True
2023-01-11,San Antonio Spurs,Indiana Pacers,111,109,True
2023-01-11,Minnesota Timberwolves,Brooklyn Nets,117,97,True
2023-01-11,LA Lakers,Portland Trail Blazers,104,100,True
2023-01-11,Atlanta Hawks,LA Clippers,102,104,False
2023-01-11,Philadelphia 76ers,Minnesota Timberwolves,129,85,True
2023-01-11,Milwaukee Bucks,Brooklyn Nets,111,119,False
2023-01-12,New York Knicks,Chicago Bulls,99,113,False
2023-01-12,Indiana Pacers,Dallas Mavericks,122,107,True
2023-01-12,Miami Heat,Boston Celtics,92,118,False
2023-01-12,Minnesota Timberwolves,Philadelphia 76ers,131,100,True
2023-01-12,Charlotte Hornets,Utah Jazz,119,105,True
2023-01-12,Golden State Warriors,Houston Rockets,115,111,True
2023-01-12,Detroit Pistons,Miami Heat,122,127,False
2023-01-12,Indiana Pacers,San Antonio Spurs,130,116,True
2023-01-12,LA Lakers,Minnesota Timberwolves,97,98,False
2023-01-13,Utah Jazz,Atlanta Hawks,114,103,True
2023-01-13,LA Lakers,Chicago Bulls,113,89,True
2023-01-13,Brooklyn Nets,San Antonio Spurs,130,106,True
2023-01-13,Houston Rockets,Philadelphia 76ers,112,116,False
2023-01-13,Boston Celtics,LA Lakers,115,113,True
2023-01-13,Phoenix Suns,Indiana Pacers,99,101,False
2023-01-13,Orlando Magic,Indiana Pacers,101,106,False
2023-01-13,Detroit Pistons,LA Clippers,103,111,False
2023-01-13,Indiana Pacers,Charlotte Hornets,110,142,False
2023-01-13,Houston Rockets,Washington Wizards,95,113,False
2023-01-13,Boston Celtics,Indiana Pacers,116,113,True
2023-01-13,Washington Wizards,New Orleans Pelicans,116,108,True
2023-01-14,Toronto Raptors,Portland Trail Blazers,137,106,True
2023-01-14,Golden State Warriors,Houston Rockets,125,122,True
2023-01-14,Milwaukee Bucks,Memphis Grizzlies,109,106,True
2023-01-14,Chicago Bulls,LA Lakers,128,104,True
2023-01-14,Chicago Bulls,Phoenix Suns,115,99,True
2023-01-15,Portland Trail Blazers,Minnesota Timberwolves,101,114,False
2023-01-15,Boston Celtics,New York Knicks,114,122,False
2023-01-15,Washington Wizards,New Orleans Pelicans,144,135,True
2023-01-15,LA Clippers,Denver Nuggets,104,105,False
2023-01-15,Milwaukee Bucks,Oklahoma City Thunder,135,109,True
2023-01-16,Oklahoma City Thunder,New Orleans Pelicans,120,117,True
2023-01-16,New York Knicks,Cleveland Cavaliers,98,90,True
2023-01-16,Memphis Grizzlies,Orlando Magic,103,93,True
2023-01-16,Oklahoma City Thunder,Charlotte Hornets,114,106,True
2023-01-16,New York Knicks,Sacramento Kings,126,90,True
2023-01-16,Atlanta Hawks,Miami Heat,119,93,True
2023-01-16,Chicago Bulls,Toronto Raptors,121,113,True
2023-01-16,Toronto Raptors,Atlanta Hawks,110,124,False
2023-01-16,Toronto Raptors,New Orleans Pelicans,123,104,True
2023-01-16,Charlotte Hornets,San Antonio Spurs,129,88,True
2023-01-16,Cleveland Cavaliers,Utah Jazz,121,114,True
2023-01-16,Houston Rockets,Portland Trail Blazers,111,103,True
2023-01-16,Phoenix Suns,Orlando Magic,129,105,True
2023-01-17,Memphis Grizzlies,Cleveland Cavaliers,108,103,True
2023-01-17,New Orleans Pelicans,Milwaukee Bucks,125,132,False
2023-01-17,Toronto Raptors,Miami Heat,105,106,False
2023-01-17,Detroit Pistons,Denver Nuggets,114,107,True
2023-01-17,Dallas Mavericks,Milwaukee Bucks,100,108,False
2023-01-17,Minnesota Timberwolves,Chicago Bulls,123,119,True
2023-01-17,Memphis Grizzlies,Orlando Magic,119,113,True
2023-01-17,Milwaukee Bucks,Orlando Magic,127,115,True
2023-01-18,Atlanta Hawks,Washington Wizards,117,115,True
2023-01-18,Philadelphia 76ers,Indiana Pacers,122,94,True
2023-01-18,New Orleans Pelicans,Boston Celtics,107,104,True
2023-01-18,Detroit Pistons,Milwaukee Bucks,109,136,False
2023-01-18,New York Knicks,Phoenix Suns,116,91,True
2023-01-18,New York Knicks,Cleveland Cavaliers,102,113,False
2023-01-18,Portland Trail Blazers,New Orleans Pelicans,120,103,True
2023-01-19,New Orleans Pelicans,Dallas Mavericks,123,127,False
2023-01-19,Milwaukee Bucks,Washington Wizards,121,104,True
2023-01-19,Denver Nuggets,New York Knicks,128,114,True
2023-01-19,Dallas Mavericks,Cleveland Cavaliers,125,99,True
2023-01-19,Oklahoma City Thunder,Dallas Mavericks,114,96,True
2023-01-19,Denver Nuggets,Dallas Mavericks,94,114,False
2023-01-19,Houston Rockets,Toronto Raptors,120,110,True
2023-01-19,LA Clippers,San Antonio Spurs,137,91,True
2023-01-19,LA Lakers,Memphis Grizzlies,119,93,True
2023-01-19,San Antonio Spurs,Oklahoma City Thunder,90,121,False
2023-01-19,Detroit Pistons,Boston Celtics,106,109,False
2023-01-19,Miami Heat,Toronto Raptors,125,108,True
2023-01-20,Atlanta Hawks,Boston Celtics,93,115,False
2023-01-20,Phoenix Suns,Brooklyn Nets,106,103,True
2023-01-20,Denver Nuggets,Sacramento Kings,109,95,True
2023-01-20,Oklahoma City Thunder,Dallas Mavericks,124,119,True
2023-01-20,Oklahoma City Thunder,San Antonio Spurs,118,113,True
2023-01-20,Denver Nuggets,Portland Trail Blazers,123,105,True
2023-01-20,Atlanta Hawks,Philadelphia 76ers,111,102,True
2023-01-20,Miami Heat,Toronto Raptors,116,108,True
2023-01-20,Orlando Magic,Detroit Pistons,124,101,True
2023-01-20,Minnesota Timberwolves,New Orleans Pelicans,102,119,False
2023-01-20,Oklahoma City Thunder,LA Clippers,120,93,True
2023-01-20,Denver Nuggets,Detroit Pistons,115,107,True
2023-01-21,Miami Heat,Golden State Warriors,105,114,False
2023-01-21,Washington Wizards,Brooklyn Nets,127,129,False
2023-01-21,Toronto Raptors,Denver Nuggets,132,103,True
2023-01-21,Chicago Bulls,Utah Jazz,104,117,False
2023-01-21,Charlotte Hornets,Dallas Mavericks,132,128,True
2023-01-21,Denver Nuggets,Washington Wizards,123,116,True
2023-01-21,Phoenix Suns,New Orleans Pelicans,114,100,True
2023-01-21,Oklahoma City Thunder,Denver Nuggets,103,101,True
2023-01-21,Sacramento Kings,Charlotte Hornets,124,132,False
2023-01-21,Denver Nuggets,Indiana Pacers,115,98,True
2023-01-21,Cleveland Cavaliers,Houston Rockets,120,112,True
2023-01-21,LA Lakers,Oklahoma City Thunder,100,119,False
2023-01-21,Phoenix Suns,Houston Rockets,113,88,True
2023-01-22,Golden State Warriors,Philadelphia 76ers,101,99,True
2023-01-22,Chicago Bulls,Detroit Pistons,108,102,True
2023-01-22,LA Lakers,LA Clippers,103,122,False
2023-01-22,Memphis Grizzlies,Atlanta Hawks,88,119,False
2023-01-22,Sacramento Kings,Denver Nuggets,108,99,True
2023-01-22,Cleveland Cavaliers,Indiana Pacers,133,108,True
2023-01-22,LA Lakers,Golden State Warriors,111,130,False
2023-01-22,LA Clippers,Boston Celtics,92,134,False
2023-01-22,Cleveland Cavaliers,Memphis Grizzlies,125,109,True
2023-01-22,Cleveland Cavaliers,Miami Heat,104,111,False
2023-01-23,Orlando Magic,Phoenix Suns,103,111,False
2023-01-23,Philadelphia 76ers,Chicago Bulls,119,112,True
2023-01-23,Phoenix Suns,Chicago Bulls,105,104,True
2023-01-23,Minnesota Timberwolves,Atlanta Hawks,120,100,True
2023-01-23,Orlando Magic,Utah Jazz,102,96,True
2023-01-23,Portland Trail Blazers,Brooklyn Nets,118,124,False
2023-01-23,Sacramento Kings,Boston Celtics,117,103,True
2023-01-23,New York Knicks,Miami Heat,118,116,True
2023-01-23,LA Lakers,Memphis Grizzlies,117,107,True
2023-01-23,Phoenix Suns,Indiana Pacers,116,94,True
2023-01-23,Houston Rockets,Phoenix Suns,119,100,True
2023-01-23,Miami Heat,Oklahoma City Thunder,111,116,False
2023-01-23,Minnesota Timberwolves,Golden State Warriors,116,121,False
2023-01-24,New York Knicks,Philadelphia 76ers,111,103,True
2023-01-24,Utah Jazz,Boston Celtics,108,113,False
2023-01-24,Atlanta Hawks,Memphis Grizzlies,115,91,True
2023-01-24,New Orleans Pelicans,Boston Celtics,119,127,False
2023-01-24,Philadelphia 76ers,Boston Celtics,118,110,True
2023-01-24,Boston Celtics,San Antonio Spurs,126,93,True
2023-01-24,San Antonio Spurs,Indiana Pacers,112,120,False
2023-01-24,New York Knicks,Boston Celtics,96,118,False
2023-01-24,Boston Celtics,Orlando Magic,88,130,False
2023-01-24,Philadelphia 76ers,Brooklyn Nets,112,111,True
2023-01-24,Oklahoma City Thunder,Philadelphia 76ers,115,128,False
2023-01-24,Philadelphia 76ers,Washington Wizards,116,106,True
2023-01-25,Brooklyn Nets,Boston Celtics,120,111,True
2023-01-25,Atlanta Hawks,Sacramento Kings,104,118,False
2023-01-25,Charlotte Hornets,San Antonio Spurs,127,101,True
2023-01-25,Sacramento Kings,Boston Celtics,133,88,True
2023-01-25,Toronto Raptors,Indiana Pacers,119,97,True
2023-01-26,Brooklyn Nets,Sacramento Kings,112,117,False
2023-01-26,Utah Jazz,Atlanta Hawks,118,94,True
2023-01-26,Detroit Pistons,Brooklyn Nets,106,100,True
2023-01-26,Brooklyn Nets,Milwaukee Bucks,91,112,False
2023-01-26,Houston Rockets,New York Knicks,106,105,True
2023-01-26,Boston Celtics,Cleveland Cavaliers,123,119,True
2023-01-26,Sacramento Kings,Portland Trail Blazers,122,97,True
2023-01-26,Utah Jazz,New Orleans Pelicans,118,99,True
2023-01-26,Miami Heat,Chicago Bulls,103,110,False
2023-01-26,LA Lakers,Sacramento Kings,113,109,True
2023-01-26,Milwaukee Bucks,Boston Celtics,110,97,True
2023-01-26,Washington Wizards,Milwaukee Bucks,115,127,False
2023-01-26,Detroit Pistons,Sacramento Kings,114,102,True
